  Mnemonic MSID                                                      Description                    Units
---------- ---- ---------------------------------------------------------------- ------------------------
   IRIUAON I001                                       Remote Interface Unit A On             Relay Status
   IRIUBON I002                                       Remote Interface Unit B On             Relay Status
  IRIUATMP I003                                   Remote Interface Unit (RIU) A           Temperature (C)
  IRIUBTMP I004                                   Remote Interface Unit (RIU) B           Temperature (C)
    IASCS4 I005                                Aft Shroud Cooling System Spare 4                    Spare
  IFSWMODE I006                                             Flight Software Mode                        -
   IFTIMEH I007                                     Flight Software Time Hi Bits                     Bits
  IBADMDCT I008                                                 Bad Mode Counter                   Counts
    IASCS2 I009                                Aft Shroud Cooling System Spare 2                    Spare
    IASCS3 I010                                Aft Shroud Cooling System Spare 3                        -
   ICCMDCT I011              Communication Application Processor Command Counter                   Counts
   IFTIMEL I012                                    Flight Software Time Low Bits                     Bits
  ILMNFRCT I013                                         Last Minor Frame Counter                   Counts
  ISUSTATE I014                                                    Suspend State                        -
    IRESET I015                                                 Reason For Reset                    Reset
  ICLRQFLG I016                                            Clear All Queues Flag                        -
  IFCKSMFL I017                                    Flight Software Checksum Flag                        -
    IMFAIL I018                                         Minor Frame Fail Counter                        -
   IMCMDCT I019                NSSCI Macro Application Processor Command Counter                   Counts
  IFBDMDCT I020                                 Flight Software Bad Mode Counter                   Counts
    IASCS1 I021                                Aft Shroud Cooling System Spare 1                        -
  IMINFRCT I022                                              Minor Frame Counter                   Counts
  IFLVMODE I023                               Flight Software Last Value Of Mode                        -
   IFMFAIL I024                         Flight Software Minor Frame Fail Counter                   Counts
  IFBUFILL I025                                           Fill Buffer Fill Index                        -
  ICKSMIND I026                                               Checksum Indicator                        -
   IASCS30 I027                               Aft Shroud Cooling System Spare 30                    Spare
   IASCS19 I028                               Aft Shroud Cooling System Spare 19                        -
   IASCS20 I029                               Aft Shroud Cooling System Spare 20                    Spare
   IASCS21 I030                               Aft Shroud Cooling System Spare 21                        -
   IASCS34 I031                               Aft Shroud Cooling System Spare 34                    Spare
   IASCS31 I032                               Aft Shroud Cooling System Spare 31                        -
   IASCS29 I033                               Aft Shroud Cooling System Spare 29                        -
   IASCS24 I034                               Aft Shroud Cooling System Spare 24                    Spare
   IASCS14 I035                               Aft Shroud Cooling System Spare 14                    Spare
   IASCS33 I036                               Aft Shroud Cooling System Spare 33                        -
   IASCS26 I037                               Aft Shroud Cooling System Spare 26                    Spare
   IASCS25 I038                               Aft Shroud Cooling System Spare 25                        -
   IASCS32 I039                               Aft Shroud Cooling System Spare 32                    Spare
   IASCS23 I040                               Aft Shroud Cooling System Spare 23                        -
   IASCS22 I041                               Aft Shroud Cooling System Spare 22                    Spare
   IASCS15 I042                               Aft Shroud Cooling System Spare 15                        -
   IASCS13 I043                               Aft Shroud Cooling System Spare 13                        -
   IASCS12 I044                               Aft Shroud Cooling System Spare 12                    Spare
   IASCS11 I045                               Aft Shroud Cooling System Spare 11                        -
   IASCS10 I046                               Aft Shroud Cooling System Spare 10                    Spare
    IASCS9 I047                                Aft Shroud Cooling System Spare 9                        -
    IASCS8 I048                                Aft Shroud Cooling System Spare 8                    Spare
    IASCS7 I049                                Aft Shroud Cooling System Spare 7                        -
    IASCS6 I050                                Aft Shroud Cooling System Spare 6                    Spare
    IASCS5 I051                                Aft Shroud Cooling System Spare 5                        -
   IASCS28 I052                               Aft Shroud Cooling System Spare 28                    Spare
   IASCS27 I053                               Aft Shroud Cooling System Spare 27                        -
   IASCS16 I054                               Aft Shroud Cooling System Spare 16                    Spare
   IASCS17 I055                               Aft Shroud Cooling System Spare 17                        -
   IASCS18 I056                               Aft Shroud Cooling System Spare 18                    Spare
   ISDF2AB I061                      Science Data Formatter Interface A/B Side 2                        -
   I15VMEC I062                 Support Electronics Section +15V Mechanism Power              Voltage (V)
   ISDF1AB I063                     Science Data Formatter Interface A/B Side 1                         -
   IMEB1ET I064                                 Main Electronics Box 1 End Wall           Temperature (C)
  IMEB1HPT I065                                Main Electronics Box 1 Heat Pipe           Temperature (C)
  IMEB2HPT I066                                Main Electronics Box 2 Heat Pipe           Temperature (C)
    ICSTMP I067                                           Control Section Board           Temperature (C)
   IMEB2ET I068                                 Main Electronics Box 2 End Wall           Temperature (C)
    I5VMEC I069                  Support Electronics Section +5V Mechanism Power              Voltage (V)
    IERCST I070                           Electronics Radiator Condensor Saddle           Temperature (C)
   I30VMEC I071                 Support Electronics Section +30V Mechanism Power              Voltage (V)
   IMEB2ST I074                                Main Electronics Box 2 Side Wall           Temperature (C)
